Genre,Original_Language,Release_Date,Vote_Average,Overview,Title
"Action, Adventure, Science Fiction",en,2021-12-15,8.3,dangerous; doctor; truly,Spider-Man: No Way Home
"Crime, Mystery, Thriller",en,2022-03-01,8.1,killer; uncovers; fighting,The Batman
Thriller,en,2022-02-25,6.3,discovers; belonging; among,No Exit
"Animation, Comedy, Family, Fantasy",en,2021-11-24,7.7,extraordinary; house; mirabel,Encanto
"Action, Adventure, Thriller, War",en,2021-12-22,7.0,worst; collection; millions,The King's Man
"Action, Crime, Thriller",en,2022-01-07,6.6,agent’s; risk; money-hungry,The Commando
"Horror, Mystery, Thriller",en,2022-01-12,6.8,town; quiet; streak,Scream
Thriller,en,2022-02-10,6.3,apartment; met; crime,Kimi
"Action, Crime, Fantasy",en,2022-02-17,5.3,superpowered; mission; assassin,Fistful of Vengeance
Science Fiction,en,2021-11-03,7.2,ancient; earth; ancient,Eternals
"Action, Crime, Thriller",en,2022-02-18,5.9,joins; situation?; female,Pursuit
"Animation, Action, Fantasy, Adventure",ja,2021-08-06,7.3,future; theory; quirk,My Hero Academia: World Heroes' Mission
"Action, Thriller, Crime",fr,2022-02-25,5.9,extremes; going; accident,Restless
"Crime, Drama, Thriller",en,2021-12-02,7.1,well-chosen; dangerous; even,Nightmare Alley
"Animation, Comedy, Adventure, Family",en,2022-01-28,7.1,teams; weasel; dinosaur,The Ice Age Adventures of Buck Wild
"Animation, Family, Fantasy, Comedy, Adventure",en,2022-02-25,7.0,monster.; cure; too,Hotel Transylvania: Transformania
Horror,en,2022-02-18,5.1,killer; looking; ghost,Texas Chainsaw Massacre
Thriller,en,2022-01-28,4.6,circle; stranded; themselves,The Requin
"Action, Comedy, Crime",hi,2022-02-04,6.0,break; mobster's; cycle,Looop Lapeta
"Action, Comedy, Crime, Thriller",en,2021-11-04,6.8,wanted.; global; criminals,Red Notice
"Animation, Comedy, Family, Music",en,2021-12-01,8.2,sneak; show.; rock,Sing 2
Horror,en,2022-01-03,5.4,would; helping; return,The Jack in the Box: Awakening
"Science Fiction, Action, Adventure",en,2021-09-30,7.1,investigative; brock; carnage,Venom: Let There Be Carnage
"Science Fiction, Action, Adventure",en,2021-12-16,6.8,memories; inside; strange,The Matrix Resurrections
"Horror, Action, Science Fiction",en,2021-11-24,6.1,company’s; evil; pharmaceutical,Resident Evil: Welcome to Raccoon City
"Action, Thriller",en,2021-10-19,6.3,wife; duty; he's,Last Man Down
"Action, Thriller, Crime, Drama",en,2022-01-07,5.4,gang; wealthy; town,American Siege
"Action, Adventure",en,2022-02-10,7.1,victor; drake; greatest,Uncharted
"Animation, Action, Adventure, Fantasy",ja,2020-10-16,8.4,zenitsu; defeat; oppose,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train
"Fantasy, Comedy, Adventure",en,2021-11-11,7.7,behind; kids; begin,Ghostbusters: Afterlife
"Action, Thriller",en,2022-01-05,6.1,acquiring; try; american,The 355
"Action, Adventure, Fantasy",en,2021-09-01,7.7,confront; rings; thought,Shang-Chi and the Legend of the Ten Rings
"Romance, Comedy, Music",en,2022-02-09,6.9,marry; seconds; unfaithful,Marry Me
Horror,en,2022-01-21,5.8,uncover; body; specialist,The Hunting
"Drama, Romance, Crime",en,2021-12-08,7.4,build; toward; york,West Side Story
"Romance, Drama",es,2022-02-04,7.8,turns; family's; starts,Through My Window
"Animation, Fantasy",ja,2021-07-02,8.0,regained; sin; sin,The Seven Deadly Sins: Cursed by Light
Action,en,2021-11-05,6.8,prisoner; insurgents; squad,One Shot
"Animation, Comedy, Family, Western",en,2022-01-24,7.1,jerry’s; rivals; brother,Tom and Jerry: Cowboy Up!
"Drama, History, Adventure",ru,2020-10-15,6.2,bigger; exclusion; made,Chernobyl: Abyss
"Western, Action",en,2022-02-25,6.8,who’s; kidnapped; red,Desperate Riders
"Family, Adventure, Comedy, Fantasy",en,2021-11-10,7.3,puppy; affects; genetics,Clifford the Big Red Dog
Comedy,en,2022-02-25,6.7,graduation; any; putting,Tyler Perry's A Madea Homecoming
"Animation, Comedy, Adventure, Family",en,2021-07-01,7.6,again; adults; business,The Boss Baby: Family Business
"Animation, Family, Comedy, Fantasy",en,2022-03-10,8.6,giant; transforms; mei,Turning Red
"Thriller, Mystery, Drama",en,2022-01-13,4.8,writer; motive; sister's,Brazen
"Animation, Drama, Comedy, Horror",en,2022-01-14,7.1,developer; house; eras,The House
"Action, Thriller",en,2022-02-10,5.1,ranks; within; power,Blacklight
"Animation, Science Fiction, Family, Comedy",en,2021-10-15,8.1,robot; digitally; walking,Ron's Gone Wrong
"Comedy, Action, Adventure, Science Fiction",en,2021-08-11,7.7,offline; character; video,Free Guy
"Comedy, Crime",en,2021-05-26,8.2,estella; pair; embrace,Cruella
"Action, Adventure, Fantasy",en,2021-07-28,7.7,enemy-infused; nutty; remote,The Suicide Squad
"Animation, Comedy, Fantasy",en,2021-11-12,6.6,springfield's; party; music,The Simpsons in Plusaversary
"Drama, War",en,2022-01-17,6.3,people; decision; daring,Forgive Us Our Trespasses
"Animation, Comedy, Family, Fantasy",en,2021-06-17,8.0,below; summer; luca,Luca
"Action, Fantasy, Adventure",en,2021-04-07,7.2,best; hunted; warrior,Mortal Kombat
"Action, Adventure, Fantasy, Science Fiction",en,2021-03-18,8.3,team; wayne; diana,Zack Snyder's Justice League
"Science Fiction, Thriller",en,2021-12-17,5.8,safety; intelligence.; stronghold,Mother/Android
"Comedy, Drama",fr,1986-11-04,5.5,seeks; marching; presented,Exploits of a Young Don Juan
"Science Fiction, Adventure",en,2021-09-15,7.9,great; those; brilliant,Dune
"Fantasy, Adventure, Comedy",ru,2021-01-01,7.1,old; long; well-deserved,The Last Warrior: Root of Evil
Horror,de,2022-02-09,5.1,teen; strange; events,The Privilege
Horror,en,2021-06-11,6.4,legend; entity; summon,Queen of Spades
"Drama, Horror, Mystery",en,2021-10-28,6.4,student; oregon; discover,Antlers
"Action, Thriller",en,2021-11-05,6.4,island; reformed; island,Dangerous
"Romance, Drama",en,2021-09-01,7.2,thought; rely; revelations,After We Fell
"Adventure, Action, Thriller",en,2021-09-29,7.5,tranquil; leading; left,No Time to Die
"Action, Crime, Thriller",hi,2021-11-05,5.8,fearless; major; faithful,Sooryavanshi
"Science Fiction, Drama, Adventure",en,2021-11-04,8.1,robot; built; friendship,Finch
"Thriller, Horror",es,2021-07-23,5.4,abdomens; wake; each,Two
"Animation, Family, Adventure, Comedy",en,2021-08-09,7.5,adventure; chaos; metropolis,PAW Patrol: The Movie
"Adventure, Action, Science Fiction",en,2018-04-25,8.3,too; everything; threats,Avengers: Infinity War
"Fantasy, Action",en,1989-06-23,7.2,deformed; madman; calling,Batman
"Action, Adventure, Science Fiction",en,2021-07-07,7.5,dangerous; ledger; bring,Black Widow
"Animation, Comedy",en,2022-02-18,5.7,mouse; journey; winter,The Wonderful Winter of Mickey Mouse
"Action, Crime, Thriller, Adventure",en,2021-05-19,7.3,ever; driver; skilled,F9
"Action, Adventure, Science Fiction",en,2022-02-03,5.9,sends; its; moon,Moonfall
"Comedy, Drama",es,2022-02-04,2.2,replaced; shaft.; apartments,"Sex, Shame and Tears 2"
"Animation, Comedy, Family",en,2021-12-03,6.5,imagination; greg; heffley,Diary of a Wimpy Kid
"Comedy, Romance, Science Fiction",th,2022-02-15,5.3,building; affections; win,AI Love You
"Action, Science Fiction, Comedy, Family",en,2022-03-30,0.0,together; embark; robotnik,Sonic the Hedgehog 2
"Mystery, Family",en,2022-02-17,5.7,storybook; film; unleash,Erax
"Animation, Action, Adventure, Science Fiction",en,2020-08-04,6.9,murderous; deathstroke; tries,Deathstroke: Knights & Dragons - The Movie
"Action, Drama, History",en,2021-10-13,7.6,settle; squire; le,The Last Duel
"Action, Adventure, Comedy, History",ko,2022-01-26,6.6,bandits; joseon; gutsy,The Pirates: The Last Royal Treasure
"Horror, Mystery, Thriller",en,2021-10-29,6.5,following; realize; amish,Paranormal Activity: Next of Kin
"Drama, Crime, Thriller",en,2021-11-24,6.8,decadence; gucci; spiral,House of Gucci
"Romance, Horror, Thriller",ru,2021-02-11,6.7,black; uses; magic,Dark Spell
"Action, Adventure, Comedy, Fantasy",en,2021-07-28,7.6,lily; enlists; ancient,Jungle Cruise
"Action, Fantasy, Science Fiction",en,2021-03-24,7.8,spectacular; powerful; earth,Godzilla vs. Kong
"Action, Adventure, Fantasy",en,2012-06-23,6.7,raised; belonged; got,The Amazing Spider-Man
"Romance, Crime",en,2022-02-17,5.6,dangerous; past; returns,Heart Shot
"Action, Adventure, Fantasy, Science Fiction",en,2009-12-10,7.5,mission; unique; civilization,Avatar
"Animation, Action, Drama, Science Fiction",ja,2021-06-11,7.8,alters; earth; enemy,Mobile Suit Gundam Hathaway
"Crime, Comedy",en,2021-10-27,6.9,lead; teller; heist,Army of Thieves
"Drama, Romance",tr,2022-02-23,5.2,opposition; deniz; motorbike,UFO
"Thriller, Mystery",en,2022-03-03,5.9,best; deception; beth,The Weekend Away
"Animation, Family, Adventure, Fantasy, Comedy",en,2020-11-25,7.6,meets; clans; its,The Croods: A New Age
"Animation, Family, Adventure, Comedy",en,2021-12-03,7.7,fit; house; zoo,Back to the Outback
"Action, Science Fiction, Adventure",en,2021-07-02,8.0,soldiers; war; dan,The Tomorrow War
"Family, Comedy",en,2022-01-28,6.9,goes; coach; nfl,Home Team
Drama,en,2021-03-17,7.4,often; form; never,The Fallout
"Family, Fantasy, Animation, Action, Adventure",en,2021-03-03,8.0,themselves; lone; humanity.,Raya and the Last Dragon
"Science Fiction, Action, Thriller",en,2021-09-09,6.8,self-medicated; brink; “infinites”,Infinite
"Action, Crime, Thriller",en,2021-04-22,7.7,skills; ultimate; score,Wrath of Man
"Crime, Action, Thriller",en,2021-12-17,6.2,retired; u.s.; revolves,Fortress
"Family, Animation, Comedy, Science Fiction",en,2021-07-08,7.1,leading; undisciplined; it's,Space Jam: A New Legacy
"TV Movie, Mystery, Thriller, Comedy",es,2022-01-13,7.3,laura; hours; asks,Laura y el misterio del asesino inesperado
"Horror, Mystery, Thriller",en,2021-05-25,7.7,suspect; would; warren,The Conjuring: The Devil Made Me Do It
"Action, Crime, Drama",en,2005-06-10,7.7,corruption; plagues; driven,Batman Begins
"Romance, Comedy",en,2022-01-20,6.8,learn; requires; hearts,The Royal Treatment
"Animation, Comedy, Family, Fantasy",en,2021-11-12,7.5,away; than; anything,Ciao Alberto
"TV Movie, Thriller, Crime",en,2021-06-05,7.8,mysteriously; dulos; wealthy,Gone Mom: The Disappearance of Jennifer Dulos
Horror,en,2021-06-28,6.6,victorian; forces; join,Ripper Untold
"Horror, Science Fiction, Drama, Thriller",fr,2021-05-26,6.1,tube.; getting; lisa,Meander
"Thriller, War",en,2021-11-18,5.3,imminent; races; seeks,Zeros and Ones
"Action, Adventure",en,2021-07-22,6.8,even; clan; apparent,Snake Eyes: G.I. Joe Origins
"Action, Thriller, Crime",en,2021-10-08,5.8,arrives; gang; wrong,Survive the Game
"Animation, Fantasy, Music, Adventure, Comedy, Family",en,2021-05-28,5.2,name; grammy; based,Riverdance: The Animated Adventure
"Action, Thriller, Science Fiction",en,2021-11-12,5.4,apex; hunting; commit.,Apex
"Documentary, Crime",en,2022-02-02,7.1,some; women; wooed,The Tinder Swindler
"Romance, Comedy",tr,2022-02-11,6.7,tactics; so; designer-blogger,Love Tactics
"Animation, Adventure, Comedy, Family",en,2021-10-01,7.2,sorts; hilarious; involved,The Addams Family 2
"Action, Adventure, Fantasy",cn,2021-04-27,6.5,han; late; commonalty,Dynasty Warriors
"Animation, Comedy, Family, Adventure",fr,2021-05-15,7.9,shanghai; adrien.; turn,Miraculous World: Shanghai – The Legend of Ladydragon
"Animation, Family, Comedy, Adventure, TV Movie",fr,2020-11-21,8.3,super-villain.; states; field,"Miraculous World: New York, United HeroeZ"
Documentary,en,2022-03-03,6.9,faces; survive; kalahari,Surviving Paradise: A Family Tale
"Animation, Action, Fantasy, Adventure",ja,2019-12-20,8.4,they're; they're; class,My Hero Academia: Heroes Rising
"War, History, Drama",en,2021-11-04,6.5,defend; skills; based,Amina
"Adventure, Drama",en,2021-12-03,6.4,rescue; increasingly; boys,Encounter
"Horror, Thriller",en,2021-08-06,6.0,terrifying; past; boy,Son
"Action, Adventure, Fantasy",en,2020-12-16,6.6,battle; wonder; robbery,Wonder Woman 1984
"Action, Adventure, Fantasy",en,2014-04-16,6.5,harry; taking; cannot,The Amazing Spider-Man 2
Horror,th,2021-12-02,6.5,secrets; wall; reveal,The Whole Truth
"Animation, Action, Crime",en,2022-02-07,6.2,powerful; crosshairs; batwoman,Catwoman: Hunted
"Drama, History, War",en,2016-10-07,8.2,doss; american; kill,Hacksaw Ridge
Action,zh,2021-05-06,7.3,again; ring; opponent,Crazy Fist
"Adventure, Fantasy",en,2001-11-16,7.9,witchcraft; parents'; whole,Harry Potter and the Philosopher's Stone
"Science Fiction, Action, Adventure",en,2012-04-25,7.7,security; s.h.i.e.l.d.; global,The Avengers
"Horror, Fantasy, Mystery",en,2021-06-15,6.1,taken; soldiers; strange,Dragon Fury
"Horror, Drama",es,2021-07-29,5.1,strange; stay; looking,Tarumama
"Action, Adventure, Fantasy, Science Fiction",en,2016-10-25,7.4,evil; arrogant; career,Doctor Strange
"Horror, Thriller",en,2021-10-14,6.8,reign; residents; down,Halloween Kills
Horror,en,2022-02-10,5.6,alive; carries; considered,The Exorcism of God
