Genre,Original_Language,Release_Date,Vote_Average,Overview,Title
"Action, Adventure, Science Fiction",en,2021-12-15,8.3,spider-man; super-hero; even,Spider-Man: No Way Home
"Crime, Mystery, Thriller",en,2022-03-01,8.1,city; batman; known,The Batman
Thriller,en,2022-02-25,6.3,addict; hidden; child,No Exit
"Animation, Comedy, Family, Fantasy",en,2021-11-24,7.7,charmed; colombia; every,Encanto
"Action, Adventure, Thriller, War",en,2021-12-22,7.0,criminal; worst; millions,The King's Man
"Action, Crime, Thriller",en,2022-01-07,6.6,agent’s; whatever; stakes,The Commando
"Horror, Mystery, Thriller",en,2022-01-12,6.8,quiet; targeting; woodsboro,Scream
Thriller,en,2022-02-10,6.3,agoraphobia; violent; most:,Kimi
"Action, Crime, Fantasy",en,2022-02-17,5.3,killer; threat; bangkok,Fistful of Vengeance
Science Fiction,en,2021-11-03,7.2,shadows; thousands; tragedy,Eternals
"Action, Crime, Thriller",en,2022-02-18,5.9,somehow; hacker; prisoner,Pursuit
"Animation, Action, Fantasy, Adventure",ja,2021-08-06,7.3,academy; academia; theory,My Hero Academia: World Heroes' Mission
"Action, Thriller, Crime",fr,2022-02-25,5.9,control; going; cover,Restless
"Crime, Drama, Thriller",en,2021-12-02,7.1,well-chosen; words; people,Nightmare Alley
"Animation, Comedy, Adventure, Family",en,2022-01-28,7.1,brothers; crash; buck's,The Ice Age Adventures of Buck Wild
"Animation, Family, Fantasy, Comedy, Adventure",en,2022-02-25,7.0,"helsing's; drac; ""monsterfication",Hotel Transylvania: Transformania
Horror,en,2022-02-18,5.1,sequel; killer; breathe,Texas Chainsaw Massacre
Thriller,en,2022-01-28,4.6,elements; forced; circle,The Requin
"Action, Comedy, Crime",hi,2022-02-04,6.0,dead; clock; cycle,Looop Lapeta
"Action, Comedy, Crime, Thriller",en,2021-11-04,6.8,fbi's; global; there's,Red Notice
"Animation, Comedy, Family, Music",en,2021-12-01,8.2,run; quest; redshore,Sing 2
Horror,en,2022-01-03,5.4,deal; jack-in-the-box; demon,The Jack in the Box: Awakening
"Science Fiction, Action, Adventure",en,2021-09-30,7.1,reporter; body; alien,Venom: Let There Be Carnage
"Science Fiction, Action, Adventure",en,2021-12-16,6.8,memories; neo's; unexpected,The Matrix Resurrections
"Horror, Action, Science Fiction",en,2021-11-24,6.1,night; small; work,Resident Evil: Welcome to Raccoon City
"Action, Thriller",en,2021-10-19,6.3,nordic; pandemic; succumbs,Last Man Down
"Action, Thriller, Crime, Drama",en,2022-01-07,5.4,officer-turned-sheriff; ex-nypd; taken,American Siege
"Action, Adventure",en,2022-02-10,7.1,brother; street-smart; partner,Uncharted
"Animation, Action, Adventure, Fantasy",ja,2020-10-16,8.4,joined; zenitsu; agatsuma,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train
"Fantasy, Comedy, Adventure",en,2021-11-11,7.7,ghostbusters; mom; arrive,Ghostbusters: Afterlife
"Action, Thriller",en,2022-01-05,6.1,british; government; together,The 355
"Action, Adventure, Fantasy",en,2021-09-01,7.7,ten; web; thought,Shang-Chi and the Legend of the Ten Rings
"Romance, Comedy, Music",en,2022-02-09,6.9,kat; bastian; music,Marry Me
Horror,en,2022-01-21,5.8,threatens; small; truth,The Hunting
"Drama, Romance, Crime",en,2021-12-08,7.4,tragedy; respective; city,West Side Story
"Romance, Drama",es,2022-02-04,7.8,crush; raquel's; developing,Through My Window
"Animation, Fantasy",ja,2021-07-02,8.0,demon; goddesses; sin,The Seven Deadly Sins: Cursed by Light
Action,en,2021-11-05,6.8,insurgents; prison; navy,One Shot
"Animation, Comedy, Family, Western",en,2022-01-24,7.1,tom; rootin’; ready,Tom and Jerry: Cowboy Up!
"Drama, History, Adventure",ru,2020-10-15,6.2,could; sacrifice; bigger,Chernobyl: Abyss
"Western, Action",en,2022-02-25,6.8,who’s; guns; red,Desperate Riders
"Family, Adventure, Comedy, Fantasy",en,2021-11-10,7.3,friend; teaches; struggles,Clifford the Big Red Dog
Comedy,en,2022-02-25,6.7,madea's; erupts; great-grandson's,Tyler Perry's A Madea Homecoming
"Animation, Comedy, Adventure, Family",en,2021-07-01,7.6,ted; templeton; baby,The Boss Baby: Family Business
"Animation, Family, Comedy, Fantasy",en,2022-03-10,8.6,panda; gets; thirteen-year-old,Turning Red
"Thriller, Mystery, Drama",en,2022-01-13,4.8,killer; comes; every,Brazen
"Animation, Drama, Comedy, Horror",en,2022-01-14,7.1,fed-up; anxious; eras,The House
"Action, Thriller",en,2022-02-10,5.1,removing; exposed; whose,Blacklight
"Animation, Science Fiction, Family, Comedy",en,2021-10-15,8.1,children's; bots; others,Ron's Gone Wrong
"Comedy, Action, Adventure, Science Fiction",en,2021-08-11,7.7,background; game; open,Free Guy
"Comedy, Crime",en,2021-05-26,8.2,able; revolution; befriends,Cruella
"Action, Adventure, Fantasy",en,2021-07-28,7.7,corto; quinn; x,The Suicide Squad
"Animation, Comedy, Fantasy",en,2021-11-12,6.6,host; disney+; service,The Simpsons in Plusaversary
"Drama, War",en,2022-01-17,6.3,disabilities; targeted; running,Forgive Us Our Trespasses
"Animation, Comedy, Family, Fantasy",en,2021-06-17,8.0,experience; deeply-held; below,Luca
"Action, Fantasy, Adventure",en,2021-04-07,7.2,tsung's; enemies; emperor,Mortal Kombat
"Action, Adventure, Fantasy, Science Fiction",en,2021-03-18,8.3,catastrophic; metahumans; sacrifice,Zack Snyder's Justice League
"Science Fiction, Thriller",en,2021-12-17,5.8,sam; go; treacherous,Mother/Android
"Comedy, Drama",fr,1986-11-04,5.5,overboard; lose; erotic,Exploits of a Young Don Juan
"Science Fiction, Adventure",en,2021-09-15,7.9,exclusive; destiny; planet's,Dune
"Fantasy, Adventure, Comedy",ru,2021-01-01,7.1,tranquility; return; gap,The Last Warrior: Root of Evil
Horror,de,2022-02-09,5.1,series; elite; conspiracy,The Privilege
Horror,en,2021-06-11,6.4,ritual; teenagers; queen,Queen of Spades
"Drama, Horror, Mystery",en,2021-10-28,6.4,frightening; teacher; oregon,Antlers
"Action, Thriller",en,2021-11-05,6.4,vengeance; sociopath; gang,Dangerous
"Romance, Drama",en,2021-09-01,7.2,she's; nothing; secret,After We Fell
"Adventure, Action, Thriller",en,2021-09-29,7.5,short-lived; leiter; onto,No Time to Die
"Action, Crime, Thriller",hi,2021-11-05,5.8,attack; city; veer,Sooryavanshi
"Science Fiction, Drama, Adventure",en,2021-11-04,8.1,post-apocalyptic; earth; learns,Finch
"Thriller, Horror",es,2021-07-23,5.4,naked; attached; abdomens,Two
"Animation, Family, Adventure, Comedy",en,2021-08-09,7.5,bustling; chaos; turning,PAW Patrol: The Movie
"Adventure, Action, Science Fiction",en,2018-04-25,8.3,everything; itself; reality,Avengers: Infinity War
"Fantasy, Action",en,1989-06-23,7.2,"madman; ""the; seizes",Batman
"Action, Adventure, Science Fiction",en,2021-07-07,7.5,past; bring; confronts,Black Widow
"Animation, Comedy",en,2022-02-18,5.7,mickey; magical; journey,The Wonderful Winter of Mickey Mouse
"Action, Crime, Thriller, Adventure",en,2021-05-19,7.3,crew; driver; high-performance,F9
