team,nationality,position,potential,name
FC Barcelona ,Argentina,Delantero|Delantero central|Extremo (Extremo derecho),Sobresaliente,Lionel Messi
Juventus ,Portugal,Delantero|Extremo (Extremo izquierdo),Sobresaliente,Cristiano Ronaldo
Paris Saint-Germain ,Brazil,Mediocampista ofensivo|Extremo (Extremo izquierdo),Sobresaliente,Neymar Jr
Liverpool ,Netherlands,Defensa central,Sobresaliente,Virgil van Dijk
Atlético Madrid ,Slovenia,Portero,Sobresaliente,Jan Oblak
Manchester City ,Belgium,Mediocampista central|Mediocampista ofensivo,Sobresaliente,Kevin De Bruyne
FC Bayern München ,Poland,Delantero,Sobresaliente,Robert Lewandowski
Real Madrid ,Belgium,Delantero|Extremo (Extremo izquierdo),Sobresaliente,Eden Hazard
Liverpool ,Brazil,Portero,Sobresaliente,Alisson
Liverpool ,Egypt,Delantero|Extremo (Extremo derecho),Sobresaliente,Mohamed Salah
Liverpool ,Senegal,Extremo (Extremo izquierdo),Sobresaliente,Sadio Mané
FC Barcelona ,Germany,Portero,Sobresaliente,Marc-André ter Stegen
Manchester City ,Argentina,Delantero,Sobresaliente,Sergio Agüero
Paris Saint-Germain ,France,Delantero|Extremo (Extremo derecho)|Extremo (Extremo izquierdo),Sobresaliente,Kylian Mbappé
Chelsea ,France,Mediocampista defensivo|Mediocampista central,Muy bueno,N'Golo Kanté
Tottenham Hotspur ,England,Delantero,Sobresaliente,Harry Kane
FC Barcelona ,France,Delantero|Delantero central|Extremo (Extremo izquierdo),Muy bueno,Antoine Griezmann
Real Madrid ,Germany,Mediocampista central,Muy bueno,Toni Kroos
Real Madrid ,Croatia,Mediocampista central,Muy bueno,Luka Modric
FC Barcelona ,Uruguay,Delantero,Muy bueno,Luis Suárez
FC Bayern München ,Germany,Portero,Muy bueno,Manuel Neuer
Real Madrid ,Spain,Defensa central,Muy bueno,Sergio Ramos
Manchester City ,Brazil,Portero,Sobresaliente,Ederson
Manchester City ,England,Extremo (Extremo derecho)|Extremo (Extremo izquierdo),Sobresaliente,Raheem Sterling
Liverpool ,Brazil,Delantero central,Muy bueno,Roberto Firmino
Napoli ,Senegal,Defensa central,Sobresaliente,Kalidou Koulibaly
Real Madrid ,Brazil,Mediocampista defensivo,Muy bueno,Casemiro
Manchester United ,Spain,Portero,Muy bueno,De Gea
