Genre,Original_Language,Release_Date,Vote_Average,Overview,Title
"Action, Adventure, Science Fiction",en,2021-12-15,8.3,superhero; no; truly,Spider-Man: No Way Home
"Crime, Mystery, Thriller",en,2022-03-01,8.1,city; killer; crime,The Batman
Thriller,en,2022-02-25,6.3,discovers; sets; inside,No Exit
"Animation, Comedy, Family, Fantasy",en,2021-11-24,7.7,house; ordinary; mirabel,Encanto
"Action, Adventure, Thriller, War",en,2021-12-22,7.0,history's; plot; tyrants,The King's Man
"Action, Crime, Thriller",en,2022-01-07,6.6,stash; discovery; newly,The Commando
"Horror, Mystery, Thriller",en,2022-01-12,6.8,begins; woodsboro; twentyfive,Scream
Thriller,en,2022-02-10,6.3,crime; leave; tries,Kimi
"Action, Crime, Fantasy",en,2022-02-17,5.3,threat; assassin; superpowered,Fistful of Vengeance
Science Fiction,en,2021-11-03,7.2,unexpected; tragedy; enemy,Eternals
"Action, Crime, Thriller",en,2022-02-18,5.9,paths; female; explosive,Pursuit
"Animation, Action, Fantasy, Adventure",ja,2021-08-06,7.3,order; quirks; mixed,My Hero Academia: World Heroes' Mission
"Action, Thriller, Crime",fr,2022-02-25,5.9,control; corrupt; cop's,Restless
"Crime, Drama, Thriller",en,2021-12-02,7.1,people; carnival; wellchosen,Nightmare Alley
"Animation, Comedy, Adventure, Family",en,2022-01-28,7.1,eddie; crash; buck,The Ice Age Adventures of Buck Wild
"Animation, Family, Fantasy, Comedy, Adventure",en,2022-02-25,7.0,ray; late; johnny,Hotel Transylvania: Transformania
Horror,en,2022-02-18,5.1,leatherface; looking; influencers,Texas Chainsaw Massacre
Thriller,en,2022-01-28,4.6,sharks; romantic; themselves,The Requin
"Action, Comedy, Crime",hi,2022-02-04,6.0,break; cash; curious,Looop Lapeta
"Action, Comedy, Crime, Thriller",en,2021-11-04,6.8,fbi's; interpolissued; no,Red Notice
"Animation, Comedy, Family, Music",en,2021-12-01,8.2,tower; stage; singers,Sing 2
Horror,en,2022-01-03,5.4,vintage; dying; enters,The Jack in the Box: Awakening
"Science Fiction, Action, Adventure",en,2021-09-30,7.1,enemy; symbiote; carnage,Venom: Let There Be Carnage
"Science Fiction, Action, Adventure",en,2021-12-16,6.8,neo's; matrix; turn,The Matrix Resurrections
"Horror, Action, Science Fiction",en,2021-11-24,6.1,townspeople; evil; left,Resident Evil: Welcome to Raccoon City
"Action, Thriller",en,2021-10-19,6.3,blood; commander; appears,Last Man Down
"Action, Thriller, Crime, Drama",en,2022-01-07,5.4,thieves; taken; gang,American Siege
"Action, Adventure",en,2022-02-10,7.1,streetsmart; tracking; wisecracking,Uncharted
"Animation, Action, Adventure, Fantasy",ja,2020-10-16,8.4,people; tormenting; boards,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train
"Fantasy, Comedy, Adventure",en,2021-11-11,7.7,legacy; single; behind,Ghostbusters: Afterlife
"Action, Thriller",en,2022-01-05,6.1,deadly; chaos; agencies,The 355
"Action, Adventure, Fantasy",en,2021-09-01,7.7,left; web; organization,Shang-Chi and the Legend of the Ten Rings
"Romance, Comedy, Music",en,2022-02-09,6.9,fans; marry; bastian,Marry Me
Horror,en,2022-01-21,5.8,attack; leaves; eager,The Hunting
"Drama, Romance, Crime",en,2021-12-08,7.4,gangs; build; york,West Side Story
"Romance, Drama",es,2022-02-04,7.8,something; longtime; family's,Through My Window
"Animation, Fantasy",ja,2021-07-02,8.0,sins; humans; sin,The Seven Deadly Sins: Cursed by Light
Action,en,2021-11-05,6.8,insurgents; site; off,One Shot
"Animation, Comedy, Family, Western",en,2022-01-24,7.1,rootin’; nephews; it’ll,Tom and Jerry: Cowboy Up!
"Drama, History, Adventure",ru,2020-10-15,6.2,station; could; part,Chernobyl: Abyss
"Western, Action",en,2022-02-25,6.8,toughasnails; red; who’s,Desperate Riders
"Family, Adventure, Comedy, Fantasy",en,2021-11-10,7.3,spurt; dog; acceptance,Clifford the Big Red Dog
