,TEAM,NATIONALITY,POSITION,AGE,POTENTIAL,NAME
0,FC Barcelona ,Argentina,Delantero|Delantero central|Extremo (Extremo derecho),33,Sobresaliente,Lionel Messi
1,Juventus ,Portugal,Delantero|Extremo (Extremo izquierdo),35,Sobresaliente,Cristiano Ronaldo
2,Paris Saint-Germain ,Brazil,Mediocampista ofensivo|Extremo (Extremo izquierdo),28,Sobresaliente,Neymar Jr
3,Liverpool ,Netherlands,Defensa central,29,Sobresaliente,Virgil van Dijk
4,Atlético Madrid ,Slovenia,Portero,27,Sobresaliente,Jan Oblak
5,Manchester City ,Belgium,Mediocampista central|Mediocampista ofensivo,29,Sobresaliente,Kevin De Bruyne
6,FC Bayern München ,Poland,Delantero,31,Sobresaliente,Robert Lewandowski
7,Real Madrid ,Belgium,Delantero|Extremo (Extremo izquierdo),29,Sobresaliente,Eden Hazard
8,Liverpool ,Brazil,Portero,27,Sobresaliente,Alisson
9,Liverpool ,Egypt,Delantero|Extremo (Extremo derecho),28,Sobresaliente,Mohamed Salah
10,Liverpool ,Senegal,Extremo (Extremo izquierdo),28,Sobresaliente,Sadio Mané
11,FC Barcelona ,Germany,Portero,28,Sobresaliente,Marc-André ter Stegen
12,Manchester City ,Argentina,Delantero,32,Sobresaliente,Sergio Agüero
13,Paris Saint-Germain ,France,Delantero|Extremo (Extremo derecho)|Extremo (Extremo izquierdo),21,Sobresaliente,Kylian Mbappé
14,Chelsea ,France,Mediocampista defensivo|Mediocampista central,29,Muy bueno,N'Golo Kanté
15,Tottenham Hotspur ,England,Delantero,27,Sobresaliente,Harry Kane
16,FC Barcelona ,France,Delantero|Delantero central|Extremo (Extremo izquierdo),29,Muy bueno,Antoine Griezmann
17,Real Madrid ,Germany,Mediocampista central,30,Muy bueno,Toni Kroos
18,Real Madrid ,Croatia,Mediocampista central,34,Muy bueno,Luka Modric
19,FC Barcelona ,Uruguay,Delantero,33,Muy bueno,Luis Suárez
20,FC Bayern München ,Germany,Portero,34,Muy bueno,Manuel Neuer
21,Real Madrid ,Spain,Defensa central,34,Muy bueno,Sergio Ramos
22,Manchester City ,Brazil,Portero,26,Sobresaliente,Ederson
23,Manchester City ,England,Extremo (Extremo derecho)|Extremo (Extremo izquierdo),25,Sobresaliente,Raheem Sterling
24,Liverpool ,Brazil,Delantero central,28,Muy bueno,Roberto Firmino
25,Napoli ,Senegal,Defensa central,29,Sobresaliente,Kalidou Koulibaly
26,Real Madrid ,Brazil,Mediocampista defensivo,28,Muy bueno,Casemiro
27,Manchester United ,Spain,Portero,29,Muy bueno,De Gea
28,Real Madrid ,Belgium,Portero,28,Muy bueno,Thibaut Courtois
29,FC Barcelona ,Spain,Mediocampista defensivo,32,Muy bueno,Sergio Busquets
30,Arsenal ,Gabon,Delantero|Mediocampista lateral (Mediocampista derecho),31,Muy bueno,Pierre-Emerick Aubameyang
31,Real Madrid ,France,Delantero|Delantero central,32,Muy bueno,Karim Benzema
32,Inter ,Slovenia,Portero,36,Muy bueno,Samir Handanovic
33,FC Barcelona ,Spain,Defensa central,33,Muy bueno,Piqué
34,Juventus ,Italy,Defensa central,35,Muy bueno,Giorgio Chiellini
35,Manchester City ,Portugal,Mediocampista central|Mediocampista ofensivo|Extremo (Extremo derecho),25,Sobresaliente,Bernardo Silva
36,FC Bayern München ,Germany,Defensa lateral|Mediocampista defensivo|Mediocampista central,25,Sobresaliente,Joshua Kimmich
37,Manchester City ,France,Defensa central,26,Sobresaliente,Aymeric Laporte
38,Juventus ,Argentina,Mediocampista ofensivo|Delantero central,26,Sobresaliente,Paulo Dybala
39,Tottenham Hotspur ,Korea Republic,Mediocampista lateral (Mediocampista derecho)|Delantero central,28,Muy bueno,Heung Min Son
40,Paris Saint-Germain ,Italy,Mediocampista defensivo|Mediocampista central,27,Muy bueno,Marco Verratti
41,Manchester United ,France,Mediocampista defensivo|Mediocampista central,27,Muy bueno,Paul Pogba
42,Paris Saint-Germain ,Costa Rica,Portero,33,Muy bueno,Keylor Navas
43,Lazio ,Italy,Delantero,30,Muy bueno,Ciro Immobile
44,Inter ,Denmark,Mediocampista lateral|Mediocampista central|Mediocampista ofensivo,28,Muy bueno,Christian Eriksen
45,Valencia CF ,Spain,Mediocampista central,31,Muy bueno,Parejo
46,Borussia Dortmund ,Germany,Mediocampista ofensivo|Delantero central,31,Muy bueno,Marco Reus
47,Juventus ,Poland,Portero,30,Muy bueno,Wojciech Szczesny
48,Paris Saint-Germain ,Argentina,Extremo (Extremo derecho)|Extremo (Extremo izquierdo),32,Muy bueno,Ángel Di María
49,Inter ,Uruguay,Defensa central,34,Muy bueno,Diego Godín
50,Borussia Dortmund ,Germany,Defensa central,31,Muy bueno,Mats Hummels
51,Napoli ,Belgium,Delantero|Delantero central,33,Muy bueno,Dries Mertens
52,Manchester City ,Spain,Mediocampista central|Mediocampista ofensivo,34,Muy bueno,David Silva
53,Tottenham Hotspur ,France,Portero,33,Muy bueno,Hugo Lloris
54,Paris Saint-Germain ,Brazil,Defensa central,35,Muy bueno,Thiago Silva
