,Ubicación,Superficie (km²),Profundidad máxima (m),Profundidad media (m),Coordenadas,Nombre
0,Santa Cruz,1435,500.0,150.0,"-50.25, 72.65",Lago Argentino
1,Santa Cruz,1166,,,"-49.62, 72.5",Lago Viedma
2,Río Negro / Neuquén,540,464.0,157.0,"-40.85, 71.62",Lago Nahuel Huapi
3,Chubut,427,39.0,20.0,"-45.41, 69.2",Lago Musters
4,Santa Cruz,358,,49.0,"-48.92, 71.21",Lago Cardiel
5,Buenos Aires,156,11.0,7.0,"-37.13, 62.86",Lago Epecuén
6,Río Negro,116,,,"-38.71, 67.97",Lago Pellegrini
7,Santa Cruz,100,,,"-48.43, 71.19",Lago Strobel
8,Chubut,84,,79.0,"-44.92, 71.5",Lago Fontana
9,Neuquén,84,,142.0,"-39.77, 71.51",Lago Huechulafquen
10,Neuquén,78,,,"-40.63, 71.42",Lago Traful
11,Chubut,73,,,"-44.86, 71.82",Lago La Plata
12,Santa Cruz,65,,,"-47.29, 71.53",Lago Ghío
13,Chubut,58,287.0,149.0,"-42.69, 71.86",Lago Menéndez
14,Neuquén,58,165.0,64.0,"-38.92, 71.13",Lago Aluminé
15,Neuquén,53,277.0,166.0,"-40.16, 71.44",Lago Lácar
16,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",49,,43.0,"-54.41, 67.72",Lago Yehuin
17,Santa Cruz,47,,,"-48.42, 71.55",Lago Quiroga
18,Chubut,47,180.0,111.0,"-42.15, 71.65",Lago Puelo
19,Santa Cruz,42,,,"-47.98, 72.35",Lago Nansen
20,Santa Cruz,42,,,"-47.84, 72.14",Lago Belgrano
21,Chubut,42,168.0,101.0,"-42.83, 71.68",Lago Futalaufquen
22,Santa Cruz,41,,31.0,"-47.49, 71.83",Lago Posadas
23,Neuquén,40,,,"-40.68, 71.71",Lago Espejo
24,Río Negro,39,218.0,111.0,"-41.35, 71.55",Lago Mascardi
25,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",38,,,"-54.39, 67.59",Lago Chepelmut
26,Santa Cruz,37,,,"-47.5, 71.61",Lago Salitroso o Sucio
27,Neuquén,37,,,"-40.04, 71.54",Lago Lolog
28,Santa Cruz,30,,,"-49.23, 72.02",Lago Tar
29,Neuquén,29,,69.0,"-39.53, 71.45",Lago Tromen
30,Chubut,28,,,"-45.89, 71.22",Lago Blanco
31,Neuquén,26,,,"-39.41, 71.31",Lago Quillén
32,Santa Cruz,23,,,"-47.86, 71.47",Lago Asador o Guitarra
33,Chubut,23,147.0,104.0,"-42.61, 71.67",Lago Rivadavia
34,Neuquén,21,,,"-38.9, 71.27",Lago Moquehue
35,Neuquén,20,,,"-40.7, 71.66",Lago Correntoso
36,Chubut,20,,,"-45.59, 68.55",Lago Río Chico
37,Santa Cruz,20,,,"-48.5, 71.58",Lago Quiroga Chico
38,Chubut,17,148.0,92.0,"-42.19, 71.51",Lago Epuyén
39,Río Negro,17,111.0,80.0,"-41.21, 71.42",Lago Gutiérrez
40,Chubut,17,108.0,49.0,"-42.46, 71.67",Lago Cholila
41,Neuquén,16,,66.0,"-39.72, 71.58",Lago Paimún
42,Santa Cruz,16,,,"-47.85, 72.27",Lago Azara
43,Santa Cruz,14,,,"-47.96, 72.2",Lago Burmeister
44,Santa Cruz,14,,,"-50.11, 73.35",Lago Onelli
45,Neuquén,14,,,"-40.33, 71.32",Lago Meliquina
46,Río Negro,12,,,"-41.07, 71.54",Lago Perito Moreno
47,Neuquén,12,,,"-39.84, 71.51",Lago Currhué
48,Neuquén,11,,,"-40.48, 71.48",Lago Falkner
49,Chubut,10,,,"-44.24, 71.5",Lago Pico Nº 1
50,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",10,,,"-54.69, 65.81",Lago Río Bueno
51,Chubut,10,57.0,25.0,"-43.26, 71.35",Lago Rosario
52,Santa Cruz,843,,,"-46.44, 71.71",Lago Buenos Aires
53,Santa Cruz,537,,,"-48.9, 72.7",Lago San Martín
54,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",533,,81.0,"-54.56, 67.89",Lago Fagnano
55,Santa Cruz,125,,,"-47.36, 71.93",Lago Pueyrredón
56,Chubut,96,,,"-43.93, 71.53",Lago General Vintter
