Genre,Original_Language,Release_Date,Vote_Average,Overview,Title
"Action, Adventure, Science Fiction",en,2021-12-15,8.3,longer; truly; asks,Spider-Man: No Way Home
"Crime, Mystery, Thriller",en,2022-03-01,8.1,connects; uncovers; gotham,The Batman
Thriller,en,2022-02-25,6.3,among; mountains; people,No Exit
"Animation, Comedy, Family, Fantasy",en,2021-11-24,7.7,danger; ordinary; heal—every,Encanto
"Action, Adventure, Thriller, War",en,2021-12-22,7.0,collection; worst; millions,The King's Man
"Action, Crime, Thriller",en,2022-01-07,6.6,elite; money; whatever,The Commando
"Horror, Mystery, Thriller",en,2022-01-12,6.8,donned; brutal; mask,Scream
Thriller,en,2022-02-10,6.3,tech; worker; justice,Kimi
"Action, Crime, Fantasy",en,2022-02-17,5.3,mission; kai; revenge,Fistful of Vengeance
Science Fiction,en,2021-11-03,7.2,reunite; thousands; enemy,Eternals
"Action, Crime, Thriller",en,2022-02-18,5.9,detective; situation?; prisoner,Pursuit
"Animation, Action, Fantasy, Adventure",ja,2021-08-06,7.3,everyone; singularity; hero,My Hero Academia: World Heroes' Mission
"Action, Thriller, Crime",fr,2022-02-25,5.9,control; corrupt; witness,Restless
"Crime, Drama, Thriller",en,2021-12-02,7.1,people; ambitious; talent,Nightmare Alley
"Animation, Comedy, Adventure, Family",en,2022-01-28,7.1,head; fearless; buck's,The Ice Age Adventures of Buck Wild
"Animation, Family, Fantasy, Comedy, Adventure",en,2022-02-25,7.0,haywire; race; late,Hotel Transylvania: Transformania
Horror,en,2022-02-18,5.1,wears; leatherface; mask,Texas Chainsaw Massacre
Thriller,en,2022-01-28,4.6,sharks; below; circle,The Requin
"Action, Comedy, Crime",hi,2022-02-04,6.0,savi; clock; mobster's,Looop Lapeta
"Action, Comedy, Crime, Thriller",en,2021-11-04,6.8,no; daring; hunt,Red Notice
"Animation, Comedy, Family, Music",en,2021-12-01,8.2,crystal; run; connections,Sing 2
Horror,en,2022-01-03,5.4,innocent; illness; cured,The Jack in the Box: Awakening
"Science Fiction, Action, Adventure",en,2021-09-30,7.1,host; eddie; alien,Venom: Let There Be Carnage
"Science Fiction, Action, Adventure",en,2021-12-16,6.8,memories; plagued; matrix,The Matrix Resurrections
"Horror, Action, Science Fiction",en,2021-11-24,6.1,uncover; wasteland…with; dying,Resident Evil: Welcome to Raccoon City
"Action, Thriller",en,2021-10-19,6.3,involved; succumbs; key,Last Man Down
"Action, Thriller, Crime, Drama",en,2022-01-07,5.4,thieves; hostage; gang,American Siege
"Action, Adventure",en,2022-02-10,7.1,lead; never; victor,Uncharted
"Animation, Action, Adventure, Fantasy",ja,2020-10-16,8.4,kyōjurō; zenitsu; scared,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train
"Fantasy, Comedy, Adventure",en,2021-11-11,7.7,secret; grandfather; connection,Ghostbusters: Afterlife
"Action, Thriller",en,2022-01-05,6.1,agencies; send; deadly,The 355
"Action, Adventure, Fantasy",en,2021-09-01,7.7,web; rings; ten,Shang-Chi and the Legend of the Ten Rings
"Romance, Comedy, Music",en,2022-02-09,6.9,global; crowd; seconds,Marry Me
Horror,en,2022-01-21,5.8,attack; threatens; small,The Hunting
"Drama, Romance, Crime",en,2021-12-08,7.4,tragedy; fall; rival,West Side Story
"Romance, Drama",es,2022-02-04,7.8,neighbor; objections; developing,Through My Window
"Animation, Fantasy",ja,2021-07-02,8.0,wrath; goddesses; demons,The Seven Deadly Sins: Cursed by Light
Action,en,2021-11-05,6.8,same; prison; mission,One Shot
"Animation, Comedy, Family, Western",en,2022-01-24,7.1,jerry’s; ready; rivals,Tom and Jerry: Cowboy Up!
"Drama, History, Adventure",ru,2020-10-15,6.2,shocking; part; explosion,Chernobyl: Abyss
"Western, Action",en,2022-02-25,6.8,ablazing; red; thorn’s,Desperate Riders
"Family, Adventure, Comedy, Fantasy",en,2021-11-10,7.3,destined; discovers; york,Clifford the Big Red Dog
Comedy,en,2022-02-25,6.7,graduation; hallelujer!; any,Tyler Perry's A Madea Homecoming
"Animation, Comedy, Adventure, Family",en,2021-07-01,7.6,boss; templeton; business,The Boss Baby: Family Business
"Animation, Family, Comedy, Fantasy",en,2022-03-10,8.6,–; giant; thirteenyearold,Turning Red
"Thriller, Mystery, Drama",en,2022-01-13,4.8,miller; every; motive,Brazen
"Animation, Drama, Comedy, Horror",en,2022-01-14,7.1,dark; different; fedup,The House
"Action, Thriller",en,2022-02-10,5.1,power; ranks; whose,Blacklight
"Animation, Science Fiction, Family, Comedy",en,2021-10-15,8.1,doesn't; robot; others,Ron's Gone Wrong
"Comedy, Action, Adventure, Science Fiction",en,2021-08-11,7.7,bank; go; background,Free Guy
"Comedy, Crime",en,2021-05-26,8.2,estella; relationship; make,Cruella
"Action, Adventure, Fantasy",en,2021-07-28,7.7,island; harley; supervillains,The Suicide Squad
"Animation, Comedy, Fantasy",en,2021-11-12,6.6,party; plusaversary; princess,The Simpsons in Plusaversary
"Drama, War",en,2022-01-17,6.3,murder; decision; daring,Forgive Us Our Trespasses
"Animation, Comedy, Family, Fantasy",en,2021-06-17,8.0,another; below; surface,Luca
"Action, Fantasy, Adventure",en,2021-04-07,7.2,earth's; fighter; stakes,Mortal Kombat
"Action, Adventure, Fantasy, Science Fiction",en,2021-03-18,8.3,metahumans; diana; plans,Zack Snyder's Justice League
"Science Fiction, Thriller",en,2021-12-17,5.8,land—a; unexpected; child,Mother/Android
"Comedy, Drama",fr,1986-11-04,5.5,16yearold; battle; amorous,Exploits of a Young Don Juan
"Science Fiction, Adventure",en,2021-09-15,7.9,existencea; ensure; paul,Dune
"Fantasy, Adventure, Comedy",ru,2021-01-01,7.1,rises; lead; known,The Last Warrior: Root of Evil
Horror,de,2022-02-09,5.1,series; supernatural; dark,The Privilege
Horror,en,2021-06-11,6.4,performing; await; four,Queen of Spades
"Drama, Horror, Mystery",en,2021-10-28,6.4,consequences; could; brother,Antlers
"Action, Thriller",en,2021-11-05,6.4,sets; discovers; sociopath,Dangerous
"Romance, Drama",en,2021-09-01,7.2,thought; person; tessa,After We Fell
"Adventure, Action, Thriller",en,2021-09-29,7.5,jamaica; treacherous; kidnapped,No Time to Die
"Action, Crime, Thriller",hi,2021-11-05,5.8,sooryavanshi; slightly; antiterrorism,Sooryavanshi
"Science Fiction, Drama, Adventure",en,2021-11-04,8.1,dog; human; friendship,Finch
"Thriller, Horror",es,2021-07-23,5.4,abdomens; people; attached,Two
"Animation, Family, Adventure, Comedy",en,2021-08-09,7.5,chaos; ryder; humdinger,PAW Patrol: The Movie
"Adventure, Action, Science Fiction",en,2018-04-25,8.3,infamy; fought; twisted,Avengers: Infinity War
"Fantasy, Action",en,1989-06-23,7.2,joker; batman; seizes,Batman
"Action, Adventure, Science Fiction",en,2021-07-07,7.5,stop; black; wake,Black Widow
"Animation, Comedy",en,2022-02-18,5.7,mouse; season; mickey,The Wonderful Winter of Mickey Mouse
"Action, Crime, Thriller, Adventure",en,2021-05-19,7.3,forsaken; dominic; brother,F9
"Action, Adventure, Science Fiction",en,2022-02-03,5.9,orbit; we; collision,Moonfall
"Comedy, Drama",es,2022-02-04,2.2,maría; changed; were,"Sex, Shame and Tears 2"
"Animation, Comedy, Family",en,2021-12-03,6.5,plans; ambitious; big,Diary of a Wimpy Kid
"Comedy, Romance, Science Fiction",th,2022-02-15,5.3,human; real; escapes,AI Love You
"Action, Science Fiction, Comedy, Family",en,2022-03-30,0.0,tails; hills; teams,Sonic the Hedgehog 2
"Mystery, Family",en,2022-02-17,5.7,nina; storybook; mayhem,Erax
"Animation, Action, Adventure, Science Fiction",en,2020-08-04,6.9,deathstroke; assassin; jackal,Deathstroke: Knights & Dragons - The Movie
"Action, Drama, History",en,2021-10-13,7.6,jacques; gris; king,The Last Duel
"Action, Adventure, Comedy, History",ko,2022-01-26,6.6,pirates; gold; joseon,The Pirates: The Last Royal Treasure
"Horror, Mystery, Thriller",en,2021-10-29,6.5,string; seems; longlost,Paranormal Activity: Next of Kin
"Drama, Crime, Thriller",en,2021-11-24,6.8,triggers; begins; humble,House of Gucci
"Romance, Horror, Thriller",ru,2021-02-11,6.7,husband; terror; strikes,Dark Spell
"Action, Adventure, Comedy, Fantasy",en,2021-07-28,7.6,frank; houghton; amazon,Jungle Cruise
"Action, Fantasy, Science Fiction",en,2021-03-24,7.8,walk; earth; spectacular,Godzilla vs. Kong
"Action, Adventure, Fantasy",en,2012-06-23,6.7,lifealtering; peter; former,The Amazing Spider-Man
"Romance, Crime",en,2022-02-17,5.6,past; returns; teenagers,Heart Shot
"Action, Adventure, Fantasy, Science Fiction",en,2009-12-10,7.5,mission; protecting; civilization,Avatar
"Animation, Action, Drama, Science Fiction",ja,2021-06-11,7.8,char's; leads; officer,Mobile Suit Gundam Hathaway
"Crime, Comedy",en,2021-10-27,6.9,lead; aspiring; ludwig,Army of Thieves
"Drama, Romance",tr,2022-02-23,5.2,musician; falls; obstruct,UFO
"Thriller, Mystery",en,2022-03-03,5.9,figure; deception; each,The Weekend Away
"Animation, Family, Adventure, Fantasy, Comedy",en,2020-11-25,7.6,walledin; crood; idyllic,The Croods: A New Age
"Animation, Family, Adventure, Comedy",en,2021-12-03,7.7,monsters; zoo; escape,Back to the Outback
"Action, Science Fiction, Adventure",en,2021-07-02,8.0,teams; high; fight,The Tomorrow War
"Family, Comedy",en,2022-01-28,6.9,win; coach; reconnecting,Home Team
Drama,en,2021-03-17,7.4,confusing; never; forever,The Fallout
"Family, Fantasy, Animation, Action, Adventure",en,2021-03-03,8.0,lived; ago; harmony,Raya and the Last Dragon
"Science Fiction, Action, Thriller",en,2021-09-09,6.8,call; learned; mccauley,Infinite
"Action, Crime, Thriller",en,2021-04-22,7.7,irrevocable; skills; heist,Wrath of Man
"Crime, Action, Thriller",en,2021-12-17,6.2,officers; resort; revolves,Fortress
"Family, Animation, Comedy, Science Fiction",en,2021-07-08,7.1,champions; tunes; gang,Space Jam: A New Legacy
"TV Movie, Mystery, Thriller, Comedy",es,2022-01-13,7.3,arresting; incriminates; ortiz,Laura y el misterio del asesino inesperado
"Horror, Mystery, Thriller",en,2021-05-25,7.7,mark; beyond; paranormal,The Conjuring: The Devil Made Me Do It
"Action, Crime, Drama",en,2005-06-10,7.7,instead; tragedy; dedicates,Batman Begins
"Romance, Comedy",en,2022-01-20,6.8,hearts; prince; following,The Royal Treatment
"Animation, Comedy, Family, Fantasy",en,2021-11-12,7.5,massimo; wants; easier,Ciao Alberto
"TV Movie, Thriller, Crime",en,2021-06-05,7.8,wealthy; jennifer; vanished,Gone Mom: The Disappearance of Jennifer Dulos
Horror,en,2021-06-28,6.6,solve; murders; series,Ripper Untold
"Horror, Science Fiction, Drama, Thriller",fr,2021-05-26,6.1,countdown; choice; tube,Meander
"Thriller, War",en,2021-11-18,5.3,series; —; called,Zeros and Ones
"Action, Adventure",en,2021-07-22,6.8,tenacious; warrior; revealed,Snake Eyes: G.I. Joe Origins
"Action, Thriller, Crime",en,2021-10-08,5.8,plot; owned; gone,Survive the Game
"Animation, Fantasy, Music, Adventure, Comedy, Family",en,2021-05-28,5.2,same; featuring; magical,Riverdance: The Animated Adventure
"Action, Thriller, Science Fiction",en,2021-11-12,5.4,remote; sentence; offered,Apex
"Documentary, Crime",en,2022-02-02,7.1,wealthy; conned; some,The Tinder Swindler
"Romance, Comedy",tr,2022-02-11,6.7,make; bet; tactics,Love Tactics
"Animation, Adventure, Comedy, Family",en,2021-10-01,7.2,unsuspecting; addams; hilarious,The Addams Family 2
"Action, Adventure, Fantasy",cn,2021-04-27,6.5,han; country; heroes,Dynasty Warriors
"Animation, Comedy, Family, Adventure",fr,2021-05-15,7.9,shanghai; loses; marinette,Miraculous World: Shanghai – The Legend of Ladydragon
"Animation, Family, Comedy, Adventure, TV Movie",fr,2020-11-21,8.3,american; meet; akumatised,"Miraculous World: New York, United HeroeZ"
Documentary,en,2022-03-03,6.9,power; faces; rely,Surviving Paradise: A Family Tale
"Animation, Action, Fantasy, Adventure",ja,2019-12-20,8.4,they're; do; attacked,My Hero Academia: Heroes Rising
"War, History, Drama",en,2021-11-04,6.5,tactics; utilize; family's,Amina
